event,result,white_elo,black_elo,eco,event_type,rd_white,rd_black,flag_white,flag_black,play_time_white,play_time_black,rated,time,increment,rating_diff
Rapid swiss,0-1,1683,952,C00,rapid,,,,,,,0,600,2,731
Rated Rapid game,0-1,1510,1502,D00,rapid,45,,RU,,4479330,,1,600,0,8
Rated Rapid game,0-1,1564,1570,C41,rapid,,,,,,,1,600,0,-6
Rated Rapid game,0-1,1454,1367,C42,rapid,,,,,,,1,600,0,87
Rated Rapid game,0-1,1655,1589,D20,rapid,,,,,,,1,600,3,66
Rated Rapid game,0-1,1477,1539,C50,rapid,81,,,,1880904,,1,600,5,-62
Rated Rapid game,0-1,982,895,C42,rapid,,,,,,,1,600,0,87
Rated Rapid game,0-1,1888,1900,C00,rapid,,45,,,,17081801,1,600,0,-12
Rated Rapid game,0-1,1515,1518,C50,rapid,82,88,,IN,109361,1049492,1,600,0,-3
Rated Rapid game,0-1,886,1491,C47,rapid,94,59,,,554133,929611,1,600,2,-605
Rated Rapid game,0-1,1687,1705,C64,rapid,,,,,,,1,600,5,-18
Rated Rapid game,0-1,750,1214,D00,rapid,223,,,,5559742,,1,600,0,-464
Rated Rapid game,0-1,1879,1865,A80,rapid,68,,,,1988308,,1,600,0,14
Rated Rapid game,0-1,1773,1864,B01,rapid,,56,,,,863860,1,600,0,-91
Rated Rapid game,0-1,1766,1771,A45,rapid,,,,,,,1,600,0,-5
Rated Rapid game,0-1,1010,944,C20,rapid,,85,,,,388463,1,600,0,66
Rated Rapid tournament,0-1,1089,1878,C50,rapid,,,,,,,1,600,0,-789
Rated Rapid game,0-1,1850,1856,D00,rapid,,,,,,,1,600,5,-6
Rated Rapid game,0-1,1327,1260,B01,rapid,45,,,,1855658,,1,600,0,67
Rated Rapid game,0-1,1722,1787,C50,rapid,,,,,,,1,600,0,-65
Rated Rapid game,0-1,1431,1462,C64,rapid,,88,,FI,,457964,1,600,0,-31
Rated Rapid game,0-1,1765,1669,A40,rapid,,48,,,,772030,1,600,0,96
Rated Rapid game,0-1,1592,1596,A01,rapid,,,,,,,1,600,0,-4
Rated Rapid game,0-1,1347,1330,C23,rapid,,,,,,,1,600,5,17
Rated Rapid game,0-1,1461,1380,C42,rapid,,70,,,,483460,1,600,0,81
Rated Rapid tournament,0-1,1108,1500,C50,rapid,,,,,,,1,900,5,-392
Rated Rapid game,0-1,2172,2169,A05,rapid,,,,,,,1,600,0,3
Rated Rapid game,0-1,2304,2176,B01,rapid,65,,ID,,2089105,,1,600,0,128
Rated Rapid game,0-1,1529,1489,D00,rapid,,,,,,,1,600,0,40
Rated Rapid game,0-1,1039,1040,C47,rapid,,,,,,,1,600,5,-1
Rated Rapid game,0-1,1057,1075,A40,rapid,72,,,,102343,,1,600,0,-18
Rated Rapid game,0-1,785,781,A40,rapid,,,,,,,1,600,0,4
Rated Rapid game,0-1,1152,1166,A40,rapid,61,64,,,96268,1627692,1,600,0,-14
Rated Rapid game,0-1,2231,2207,C45,rapid,,,,,,,1,600,0,24
Rated Rapid game,0-1,1598,1616,B10,rapid,92,,,,773490,,1,600,0,-18
Rated Rapid game,0-1,2114,2059,C24,rapid,,,,,,,1,600,0,55
Rated Rapid game,0-1,960,1087,A00,rapid,,,,,,,1,600,0,-127
Rated Rapid game,0-1,1591,1494,D20,rapid,,,,,,,1,600,0,97
Rated Rapid game,0-1,1739,1772,B45,rapid,,75,,,,98879,1,600,0,-33
Rated Rapid game,0-1,1257,1339,C22,rapid,,,,,,,1,600,0,-82
Rated Rapid game,0-1,1126,1120,C01,rapid,,,,,,,1,600,0,6
Rated Rapid game,0-1,1366,1413,C44,rapid,56,,,,2453098,,1,60,11,-47
Rated Rapid game,0-1,1526,1555,B01,rapid,,85,,,,5293855,1,600,0,-29
Rated Rapid game,0-1,2089,2011,C56,rapid,49,45,,,1346979,6365717,1,600,0,78
Rated Rapid game,0-1,1335,1351,A06,rapid,,,,,,,1,600,0,-16
Rated Rapid game,0-1,1398,1345,C44,rapid,92,,,,785883,,1,600,0,53
Rated Rapid game,0-1,1795,1787,D07,rapid,,45,,,,454595,1,600,0,8
Rated Rapid game,0-1,1541,1575,C00,rapid,45,,KG,,11531129,,1,600,0,-34
Rated Rapid game,0-1,1265,1377,A05,rapid,,,,,,,1,900,0,-112
